file,name,product_code,label,img_count,heading_count,text_block_count,has_wrapper
C:\dev_win\naver_crawler\debug\content_outputs\9956004224_cleaned_20251113_194428.html,9956004224_cleaned_20251113_194428.html,9956004224,cleaned,20,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956004454_cleaned_20251113_194352.html,9956004454_cleaned_20251113_194352.html,9956004454,cleaned,20,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9956006222_cleaned_20251113_194208.html,9956006222_cleaned_20251113_194208.html,9956006222,cleaned,17,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9956006928_cleaned_20251113_194132.html,9956006928_cleaned_20251113_194132.html,9956006928,cleaned,24,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9956007790_cleaned_20251113_193948.html,9956007790_cleaned_20251113_193948.html,9956007790,cleaned,19,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9956013385_cleaned_20251113_193913.html,9956013385_cleaned_20251113_193913.html,9956013385,cleaned,26,0,6,True
C:\dev_win\naver_crawler\debug\content_outputs\9959090122_cleaned_20251113_193837.html,9959090122_cleaned_20251113_193837.html,9959090122,cleaned,26,0,9,True
C:\dev_win\naver_crawler\debug\content_outputs\9959096583_cleaned_20251113_193800.html,9959096583_cleaned_20251113_193800.html,9959096583,cleaned,3,0,0,True
C:\dev_win\naver_crawler\debug\content_outputs\9959096753_cleaned_20251113_193724.html,9959096753_cleaned_20251113_193724.html,9959096753,cleaned,13,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9959096760_cleaned_20251113_193648.html,9959096760_cleaned_20251113_193648.html,9959096760,cleaned,16,0,5,True
C:\dev_win\naver_crawler\debug\content_outputs\9959097024_cleaned_20251113_193613.html,9959097024_cleaned_20251113_193613.html,9959097024,cleaned,41,0,0,True
C:\dev_win\naver_crawler\debug\content_outputs\9959097098_cleaned_20251113_193534.html,9959097098_cleaned_20251113_193534.html,9959097098,cleaned,56,0,0,True
C:\dev_win\naver_crawler\debug\content_outputs\9959098586_cleaned_20251113_193458.html,9959098586_cleaned_20251113_193458.html,9959098586,cleaned,31,0,6,True
C:\dev_win\naver_crawler\debug\content_outputs\9964019149_cleaned_20251113_193348.html,9964019149_cleaned_20251113_193348.html,9964019149,cleaned,16,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9964019248_cleaned_20251113_193313.html,9964019248_cleaned_20251113_193313.html,9964019248,cleaned,44,0,28,True
C:\dev_win\naver_crawler\debug\content_outputs\9964020452_cleaned_20251113_193237.html,9964020452_cleaned_20251113_193237.html,9964020452,cleaned,12,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9964020931_cleaned_20251113_193126.html,9964020931_cleaned_20251113_193126.html,9964020931,cleaned,20,0,11,True
C:\dev_win\naver_crawler\debug\content_outputs\9964021223_cleaned_20251113_193050.html,9964021223_cleaned_20251113_193050.html,9964021223,cleaned,38,0,18,True
C:\dev_win\naver_crawler\debug\content_outputs\9964021453_cleaned_20251113_193014.html,9964021453_cleaned_20251113_193014.html,9964021453,cleaned,22,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9964021812_cleaned_20251113_192937.html,9964021812_cleaned_20251113_192937.html,9964021812,cleaned,25,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9964021902_cleaned_20251113_192901.html,9964021902_cleaned_20251113_192901.html,9964021902,cleaned,34,0,6,True
C:\dev_win\naver_crawler\debug\content_outputs\9964022188_cleaned_20251113_192824.html,9964022188_cleaned_20251113_192824.html,9964022188,cleaned,21,0,3,True
C:\dev_win\naver_crawler\debug\content_outputs\9964022215_cleaned_20251113_192748.html,9964022215_cleaned_20251113_192748.html,9964022215,cleaned,27,0,2,True
C:\dev_win\naver_crawler\debug\content_outputs\9964022219_cleaned_20251113_192713.html,9964022219_cleaned_20251113_192713.html,9964022219,cleaned,34,0,8,True
C:\dev_win\naver_crawler\debug\content_outputs\9964022573_cleaned_20251113_192603.html,9964022573_cleaned_20251113_192603.html,9964022573,cleaned,28,0,7,True
C:\dev_win\naver_crawler\debug\content_outputs\9964023071_cleaned_20251113_192418.html,9964023071_cleaned_20251113_192418.html,9964023071,cleaned,26,0,3,True
C:\dev_win\naver_crawler\debug\content_outputs\TABLETEST_cleaned_20251114_115701.html,TABLETEST_cleaned_20251114_115701.html,20251114,cleaned,2,0,2,False
C:\dev_win\naver_crawler\debug\content_outputs\TABLETEST_html4_20251114_115701.html,TABLETEST_html4_20251114_115701.html,4,html4,2,0,2,False
C:\dev_win\naver_crawler\debug\content_outputs\TEST_cleaned_20251114_104014.html,TEST_cleaned_20251114_104014.html,20251114,cleaned,84,1,78,False
C:\dev_win\naver_crawler\debug\content_outputs\TEST_cleaned_20251114_104242.html,TEST_cleaned_20251114_104242.html,20251114,cleaned,84,1,78,False
C:\dev_win\naver_crawler\debug\content_outputs\TEST_html4_20251114_104013.html,TEST_html4_20251114_104013.html,4,html4,84,1,78,False
C:\dev_win\naver_crawler\debug\content_outputs\TEST_html4_20251114_104242.html,TEST_html4_20251114_104242.html,4,html4,84,1,78,False
